ModelID,Accuracy,Precision,Recall,F1 Score,Parameter Count,Learning Rate,Batch size,Epoch,Optimizer,conv1,conv2,conv3,f1,f2,k1,k2,k3,max_val,max_val_index
cnn_20250424_1730_9087,95.3668%,96.6295%,94.0128%,95.3032%,137673,0.002,1024,200,adam,32,32,32,44,18,4,4,4,94.1930%,152
cnn_20250424_1740_7484,95.7553%,96.8527%,94.5841%,95.7050%,137673,0.002,1024,200,adam,32,32,32,44,18,4,4,4,94.9398%,170
cnn_20250424_1740_7840,95.7096%,96.9597%,94.3784%,95.6517%,137673,0.002,1024,200,adam,32,32,32,44,18,4,4,4,94.7417%,132
cnn_20250424_1740_2122,95.3896%,96.5873%,94.1042%,95.3296%,137673,0.002,1024,200,adam,32,32,32,44,18,4,4,4,94.1777%,192
cnn_20250424_1740_6447,95.6124%,96.7995%,94.3441%,95.5561%,137673,0.002,1024,200,adam,32,32,32,44,18,4,4,4,94.6045%,123
cnn_20250424_1740_6264,95.6581%,96.1538%,95.1211%,95.6347%,137673,0.002,1024,200,adam,32,32,32,44,18,4,4,4,94.6045%,169
cnn_20250424_1740_1960,95.6124%,97.3997%,93.7271%,95.5281%,137673,0.002,1024,200,adam,32,32,32,44,18,4,4,4,94.4825%,198
cnn_20250424_1741_2473,95.6524%,96.2389%,95.0183%,95.6247%,137673,0.002,1024,200,adam,32,32,32,44,18,4,4,4,94.4749%,194
cnn_20250424_1740_8367,95.8695%,97.0799%,94.5841%,95.8157%,137673,0.002,1024,200,adam,32,32,32,44,18,4,4,4,94.7569%,139
cnn_20250424_1741_7677,95.3268%,95.4202%,95.2239%,95.3220%,137673,0.002,1024,200,adam,32,32,32,44,18,4,4,4,93.9796%,171
cnn_20250424_1741_3597,95.3611%,95.3818%,95.3382%,95.3600%,137673,0.002,1024,200,adam,32,32,32,44,18,4,4,4,94.3606%,169
cnn_20250424_1750_5120,95.8295%,96.3378%,95.2811%,95.8065%,137673,0.002,1024,200,adam,32,32,32,44,18,4,4,4,94.8255%,191
cnn_20250424_1750_7338,95.5667%,96.5453%,94.5155%,95.5196%,137673,0.002,1024,200,adam,32,32,32,44,18,4,4,4,94.8102%,132
cnn_20250424_1750_8197,95.3725%,96.0566%,94.6298%,95.3379%,137673,0.002,1024,200,adam,32,32,32,44,18,4,4,4,94.2082%,169
cnn_20250424_1751_2675,95.5039%,96.3674%,94.5727%,95.4616%,137673,0.002,1024,200,adam,32,32,32,44,18,4,4,4,94.3378%,169
cnn_20250424_1750_8474,95.4296%,96.5138%,94.2642%,95.3757%,137673,0.002,1024,200,adam,32,32,32,44,18,4,4,4,94.4292%,157
cnn_20250424_1751_8998,95.5782%,96.3837%,94.7098%,95.5394%,137673,0.002,1024,200,adam,32,32,32,44,18,4,4,4,94.6807%,178
cnn_20250424_1751_1444,95.7838%,96.6256%,94.8812%,95.7454%,137673,0.002,1024,200,adam,32,32,32,44,18,4,4,4,94.7188%,123
cnn_20250424_1751_3342,95.2925%,96.0930%,94.4241%,95.2513%,137673,0.002,1024,200,adam,32,32,32,44,18,4,4,4,94.5892%,123
cnn_20250424_1751_7142,95.1097%,95.5679%,94.6069%,95.0850%,137673,0.002,1024,200,adam,32,32,32,44,18,4,4,4,93.9186%,194
cnn_20250424_1751_3165,95.3439%,96.0757%,94.5498%,95.3067%,137673,0.002,1024,200,adam,32,32,32,44,18,4,4,4,94.2920%,140
cnn_20250424_1800_3970,96.1666%,96.2670%,96.0580%,96.1624%,137673,0.002,1024,200,adam,32,32,32,44,18,4,4,4,96.0677%,48
cnn_20250424_1800_2526,96.4808%,97.4236%,95.4867%,96.4455%,137673,0.002,1024,200,adam,32,32,32,44,18,4,4,4,96.2887%,198
cnn_20250424_1801_3685,96.7322%,96.3194%,97.1778%,96.7467%,137673,0.002,1024,200,adam,32,32,32,44,18,4,4,4,96.4106%,93
cnn_20250424_1801_6807,96.5494%,96.1277%,97.0064%,96.5651%,137673,0.002,1024,200,adam,32,32,32,44,18,4,4,4,96.3420%,148
cnn_20250424_1801_2027,96.8350%,96.5056%,97.1892%,96.8462%,137673,0.002,1024,200,adam,32,32,32,44,18,4,4,4,96.5630%,157
cnn_20250424_1801_5867,96.8979%,97.1294%,96.6522%,96.8902%,137673,0.002,1024,200,adam,32,32,32,44,18,4,4,4,96.4030%,189
cnn_20250424_1801_9741,96.5037%,97.1939%,95.7724%,96.4779%,137673,0.002,1024,200,adam,32,32,32,44,18,4,4,4,96.2506%,72
cnn_20250424_1801_8156,96.8122%,96.9516%,96.6636%,96.8074%,137673,0.002,1024,200,adam,32,32,32,44,18,4,4,4,96.4868%,157
cnn_20250424_1801_5931,96.8521%,97.7080%,95.9552%,96.8237%,137673,0.002,1024,200,adam,32,32,32,44,18,4,4,4,96.4106%,157
cnn_20250424_1801_7244,96.9550%,96.8533%,97.0635%,96.9583%,137673,0.002,1024,200,adam,32,32,32,44,18,4,4,4,96.4792%,196
cnn_20250424_1810_5003,96.7493%,96.6480%,96.8579%,96.7528%,137673,0.002,1024,200,adam,32,32,32,44,18,4,4,4,96.4640%,126
cnn_20250424_1810_9172,96.8807%,97.4774%,96.2523%,96.8610%,137673,0.002,1024,200,adam,32,32,32,44,18,4,4,4,96.5325%,157
cnn_20250424_1811_5710,96.9550%,97.4155%,96.4694%,96.9401%,137673,0.002,1024,200,adam,32,32,32,44,18,4,4,4,96.5554%,154
cnn_20250424_1811_1184,97.0750%,97.0965%,97.0521%,97.0743%,137673,0.002,1024,200,adam,32,32,32,44,18,4,4,4,96.4868%,192
cnn_20250424_1811_9874,96.9093%,97.7439%,96.0352%,96.8820%,137673,0.002,1024,200,adam,32,32,32,44,18,4,4,4,96.2201%,164
cnn_20250424_1811_4986,96.8750%,97.5322%,96.1837%,96.8532%,137673,0.002,1024,200,adam,32,32,32,44,18,4,4,4,96.3801%,143
cnn_20250424_1811_1374,97.0635%,97.7067%,96.3894%,97.0436%,137673,0.002,1024,200,adam,32,32,32,44,18,4,4,4,96.5325%,111
cnn_20250424_1811_5588,96.8521%,98.0096%,95.6467%,96.8137%,137673,0.002,1024,200,adam,32,32,32,44,18,4,4,4,96.3573%,189
cnn_20250424_1811_8617,96.9436%,97.3712%,96.4922%,96.9297%,137673,0.002,1024,200,adam,32,32,32,44,18,4,4,4,96.5021%,195
cnn_20250424_1811_1342,96.8693%,97.7643%,95.9324%,96.8397%,137673,0.002,1024,200,adam,32,32,32,44,18,4,4,4,96.3573%,192
cnn_20250424_1819_2404,97.1378%,97.8097%,96.4351%,97.1175%,137673,0.002,1024,200,adam,32,32,32,44,18,4,4,4,96.6392%,165
cnn_20250424_1820_7241,96.8064%,97.8843%,95.6810%,96.7701%,137673,0.002,1024,200,adam,32,32,32,44,18,4,4,4,96.3344%,197
cnn_20250424_1820_4713,97.0407%,97.4746%,96.5836%,97.0271%,137673,0.002,1024,200,adam,32,32,32,44,18,4,4,4,96.3954%,176
cnn_20250424_1820_9753,96.9835%,97.5266%,96.4122%,96.9662%,137673,0.002,1024,200,adam,32,32,32,44,18,4,4,4,96.4335%,197
cnn_20250424_1820_9623,94.6469%,94.8674%,94.4013%,94.6338%,137673,0.002,1024,200,adam,32,32,32,44,18,4,4,4,93.4614%,191
cnn_20250424_1820_7057,96.7207%,97.4472%,95.9552%,96.6955%,137673,0.002,1024,200,adam,32,32,32,44,18,4,4,4,96.2277%,162
cnn_20250424_1821_7509,94.3270%,95.3796%,93.1673%,94.2604%,137673,0.002,1024,200,adam,32,32,32,44,18,4,4,4,92.5316%,186
cnn_20250424_1821_8667,94.1556%,94.9831%,93.2358%,94.1014%,137673,0.002,1024,200,adam,32,32,32,44,18,4,4,4,92.5011%,193
cnn_20250424_1821_7122,94.6241%,96.1807%,92.9388%,94.5319%,137673,0.002,1024,200,adam,32,32,32,44,18,4,4,4,92.9736%,182
cnn_20250424_1821_4307,94.3784%,94.8499%,93.8528%,94.3487%,137673,0.002,1024,200,adam,32,32,32,44,18,4,4,4,92.7298%,193
cnn_20250424_1828_6468,94.7612%,96.6536%,92.7331%,94.6527%,137673,0.002,1024,200,adam,32,32,32,44,18,4,4,4,93.2480%,191
cnn_20250424_1829_1320,93.9385%,93.3393%,94.6298%,93.9801%,137673,0.002,1024,200,adam,32,32,32,44,18,4,4,4,92.7145%,132
cnn_20250424_1829_3945,94.2128%,95.0728%,93.2587%,94.1570%,137673,0.002,1024,200,adam,32,32,32,44,18,4,4,4,92.5316%,192
cnn_20250424_1830_6627,94.2070%,94.7076%,93.6472%,94.1744%,137673,0.002,1024,200,adam,32,32,32,44,18,4,4,4,92.4326%,106
cnn_20250424_1830_4937,94.0185%,94.6356%,93.3272%,93.9769%,137673,0.002,1024,200,adam,32,32,32,44,18,4,4,4,92.5316%,186
cnn_20250424_1830_7333,94.5612%,95.9797%,93.0187%,94.4760%,137673,0.002,1024,200,adam,32,32,32,44,18,4,4,4,93.1794%,106
